row,tree,inner_1_panonychus,inner_1_bryobia,inner_1_tetranychus,inner_1_predatory,inner_2_panonychus,inner_2_bryobia,inner_2_tetranychus,inner_2_predatory,inner_3_panonychus,inner_3_bryobia,inner_3_tetranychus,inner_3_predatory,inner_4_panonychus,inner_4_bryobia,inner_4_tetranychus,inner_4_predatory,inner_5_panonychus,inner_5_bryobia,inner_5_tetranychus,inner_5_predatory,outer_1_panonychus,outer_1_bryobia,outer_1_tetranychus,outer_1_predatory,outer_2_panonychus,outer_2_bryobia,outer_2_tetranychus,outer_2_predatory,outer_3_panonychus,outer_3_bryobia,outer_3_tetranychus,outer_3_predatory,outer_4_panonychus,outer_4_bryobia,outer_4_tetranychus,outer_4_predatory,outer_5_panonychus,outer_5_bryobia,outer_5_tetranychus,outer_5_predatory,inner_1_pest_mite_eggs,inner_1_predatory_eggs,inner_2_pest_mite_eggs,inner_2_predatory_eggs,inner_3_pest_mite_eggs,inner_3_predatory_eggs,inner_4_pest_mite_eggs,inner_4_predatory_eggs,inner_5_pest_mite_eggs,inner_5_predatory_eggs,outer_1_pest_mite_eggs,outer_1_predatory_eggs,outer_2_pest_mite_eggs,outer_2_predatory_eggs,outer_3_pest_mite_eggs,outer_3_predatory_eggs,outer_4_predatory_eggs,outer_4_pest_mite_eggs,outer_5_pest_mite_eggs,outer_5_predatory_eggs
12,12_2,0,5-10,0,0,0,0,0,0,0,0,0,0,1-5,0,0,0,0,0,0,0,0,1-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1-5,0,0,1-5,0,1-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1-5,0,0,0,0,0,0,0,0,0,0,0,0,1-5,0,0,0,0,0,0,5-10,0,0,0,1-5,0,0,0,1-5,0,0,0,1-5,0,0,0,0,0,1-5,0
14,14_20,0,0,10+,0,0,1-5,,0,0,0,0,0,1-5,0,5-10,0,5-10,0,1-5,1-5,0,0,10+,0,0,0,0,0,0,0,5-10,0,0,0,10+,0,,0,10+,1-5,10+,0,10+,0,5-10,0,0,0,5-10,0,5-10,0,5-10,0,0,0,0,5-10,1-5,0
14,14_36,0,0,10+,0,0,0,5-10,0,0,0,0,0,0,0,0,0,1-5,0,5-10,0,0,0,5-10,0,0,0,10+,0,0,0,0,0,0,0,1-5,0,0,0,1-5,0,1-5,0,1-5,0,1-5,0,0,0,0,0,1-5,1-5,1-5,0,5-10,0,0,0,0,0
14,14_50,0,0,10+,0,0,0,0,0,0,0,5-10,0,0,0,5-10,0,1-5,0,1-5,0,0,0,10+,0,0,0,10+,1-5,0,0,5-10,0,0,0,1-5,0,0,0,10+,5-10,10+,0,10+,0,0,0,10+,0,10+,0,1-5,0,10+,0,10+,0,0,5-10,1-5,
14,14_66,0,0,0,0,,0,1-5,1-5,0,0,5-10,0,0,0,0,0,1-5,0,1-5,0,1-5,0,5-10,1-5,0,0,0,1-5,0,0,0,0,0,0,1-5,0,1-5,0,1-5,0,1-5,0,0,0,5-10,0,5-10,1-5,0,0,1-5,0,5-10,0,5-10,0,0,0,1-5,0
15,15_35,10+,5-10,10+,0,1-5,0,,0,0,0,0,0,0,0,5-10,0,1-5,1-5,1-5,0,5-10,0,1-5,0,10+,0,0,0,5-10,0,0,0,0,0,1-5,0,0,0,5-10,0,5-10,0,10+,1-5,5-10,0,0,0,5-10,0,5-10,0,5-10,0,5-10,0,0,1-5,1-5,0
14,14_50,5-10,5-10,5-10,1-5,1-5,0,0,0,1-5,1-5,0,1-5,0,5-10,1-5,1-5,1-5,1-5,0,0,5-10,1-5,0,0,5-10,0,0,0,0,0,0,0,5-10,1-5,0,0,1-5,1-5,1-5,0,5-10,0,5-10,0,1-5,0,1-5,0,5-10,0,1-5,0,0,0,0,0,0,0,0,0
14,14_20,10+,0,10+,0,10+,0,10+,0,10+,0,0,0,0,0,10+,0,10+,1-5,5-10,0,1-5,1-5,1-5,0,1-5,1-5,1-5,0,1-5,0,1-5,0,1-5,0,1-5,1-5,1-5,0,0,0,1-5,0,10+,0,10+,0,1-5,0,10+,0,5-10,0,1-5,0,1-5,0,0,1-5,1-5,0
14,14_5,1-5,1-5,0,0,0,0,0,5-10,1-5,0,0,0,0,1-5,0,0,5-10,0,0,0,0,0,0,0,1-5,0,1-5,0,1-5,0,1-5,1-5,1-5,0,0,0,1-5,1-5,0,0,1-5,0,1-5,0,10+,0,1-5,0,1-5,0,1-5,0,0,0,0,0,0,1-5,0,0
15,15_5,1-5,1-5,0,0,0,0,0,0,0,1-5,0,0,0,0,0,0,1-5,1-5,1-5,5-10,0,0,0,0,0,0,5-10,1-5,1-5,1-5,0,0,1-5,0,0,0,1-5,1-5,1-5,1-5,10+,0,5-10,0,0,0,5-10,0,0,0,5-10,1-5,0,0,5-10,0,0,1-5,1-5,0
15,15_20,0,0,0,0,0,0,10+,0,0,0,5-10,0,0,0,0,0,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,0,1-5,1-5,0,0,0,0,0,0,1-5,0,0,,1-5,0,5-10,0,5-10,0,5-10,0,0,0,5-10,0,1-5,0,1-5,0,0,1-5,0,0
15,15_35,0,0,5-10,0,0,0,1-5,0,0,0,5-10,1-5,0,0,10+,0,1-5,1-5,0,0,10+,1-5,0,0,10+,1-5,10+,0,1-5,1-5,0,0,1-5,0,0,0,1-5,0,5-10,1-5,5-10,0,5-10,0,5-10,0,1-5,0,5-10,0,1-5,0,1-5,0,10+,5-10,0,1-5,5-10,0
15,15_50,5-10,5-10,0,0,5-10,5-10,0,0,0,5-10,0,0,0,1-5,0,0,10+,0,10+,0,5-10,0,5-10,0,0,0,0,0,0,1-5,0,0,5-10,0,5-10,0,1-5,1-5,0,0,1-5,0,5-10,0,5-10,0,5-10,0,1-5,0,5-10,0,5-10,0,0,0,0,1-5,1-5,0
18,18_5,0,0,1-5,0,0,0,0,0,0,0,0,0,0,0,1-5,0,1-5,0,10+,0,0,0,1-5,0,1-5,0,0,0,1-5,1-5,1-5,0,1-5,1-5,1-5,0,0,0,10+,0,10+,5-10,5-10,0,0,0,0,0,1-5,0,5-10,0,1-5,0,0,0,0,1-5,1-5,0
18,18_20,0,0,10+,1-5,1-5,0,5-10,0,0,0,5-10,0,0,0,5-10,0,0,0,5-10,0,5-10,0,5-10,0,5-10,0,10+,0,5-10,0,5-10,0,10+,0,10+,0,0,0,1-5,0,0,0,10+,0,5-10,0,10+,0,5-10,0,5-10,0,5-10,0,5-10,0,0,5-10,5-10,0
18,18_35,0,0,1-5,0,0,0,10+,0,0,0,10+,0,0,0,1-5,,1-5,1-5,0,0,1-5,0,1-5,0,0,0,1-5,0,0,0,5-10,0,1-5,0,1-5,0,0,0,5-10,0,10+,0,1-5,0,10+,0,10+,0,10+,0,0,0,1-5,0,0,0,0,5-10,10+,0
18,18_50,0,0,0,0,0,0,0,0,0,0,10+,0,0,0,1-5,0,0,0,5-10,0,0,0,1-5,0,0,0,5-10,0,0,0,1-5,0,1-5,0,0,0,0,0,0,0,5-10,0,1-5,0,0,0,5-10,0,1-5,0,1-5,0,1-5,0,1-5,0,0,0,1-5,0
18,18_65,0,1-5,1-5,0,0,0,1-5,,0,0,5-10,1-5,0,0,1-5,0,1-5,0,5-10,1-5,0,0,0,0,0,0,0,0,0,0,1-5,0,1-5,0,5-10,0,0,0,1-5,0,5-10,5-10,0,0,1-5,0,1-5,0,5-10,0,5-10,0,1-5,0,0,0,0,5-10,1-5,0
21,21_68,0,0,0,0,0,0,,,,1-5,1-5,,,1-5,5-10,,1-5,,1-5,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1-5,0,5-10,,5-10,,1-5,,0,,0,0,0,0,0,0
21,21_60,,,1-5,,,,1-5,,,,10+,,,,10+,1-5,,1-5,1-5,,,,1-5,,0,0,0,,,,1-5,,,1-5,,,,,5-10,,5-10,,1-5,,1-5,,5-10,,10+,,5-10,,5-10,,,0,,1-5,1-5,
21,21_40,1-5,,10+,,,,1-5,,1-5,,,,,,5-10,,1-5,,1-5,,1-5,1-5,,,1-5,,1-5,,1-5,,1-5,,1-5,,,,1-5,5-10,1-5,,1-5,,5-10,,1-5,,1-5,,5-10,,1-5,,1-5,,,,,,,
21,21_20,,1-5,10+,,0,0,10+,0,,1-5,,,,,10+,,,,10+,,1-5,,1-5,,1-5,1-5,,,1-5,,,,1-5,,1-5,1-5,1-5,1-5,5-10,,1-5,,1-5,,1-5,,1-5,,1-5,,1-5,,1-5,,1-5,0,,,1-5,
21,21_10,1-5,,10+,,,1-5,,,,,5-10,,,1-5,,,,,1-5,,1-5,,5-10,1-5,,,10+,,1-5,,5-10,,,,,,,,1-5,,1-5,,10+,,1-5,,5-10,,1-5,,5-10,,1-5,,,5-10,,5-10,1-5,0
22,22_30,,1-5,1-5,,,1-5,1-5,1-5,,,5-10,,,,5-10,,1-5,1-5,,,1-5,1-5,1-5,,1-5,,1-5,1-5,5-10,1-5,5-10,,1-5,,,,,1-5,10+,,5-10,,1-5,,5-10,,5-10,,5-10,,5-10,,,,5-10,0,,5-10,1-5,
